NOME,ID_LATTES,INSTITUICAO
ADRIANA SILVA FRANCA,1719405448685259,e452d709-0e4f-46cb-9449-50dd5310ac81
ADRIANO VILELA BARBOSA,9631335587847579,e452d709-0e4f-46cb-9449-50dd5310ac82
AFONSO HENRIQUES MARTINS,4252822054499857,e452d709-0e4f-46cb-9449-50dd5310ac83
ALBERTO RESENDE DE CONTI,2051626172679059,e452d709-0e4f-46cb-9449-50dd5310ac84
ALDO GIUNTINI DE MAGALHAES,0067684613389384,e452d709-0e4f-46cb-9449-50dd5310ac85
ALESSANDRO FERNANDES MOREIRA,4057226783065944,e452d709-0e4f-46cb-9449-50dd5310ac86
ALEXANDRE DA SILVA SCARI,3174658439791409,e452d709-0e4f-46cb-9449-50dd5310ac87
ALEXANDRE MENDES ABRAO,4498255089432603,e452d709-0e4f-46cb-9449-50dd5310ac88
ALEXANDRE RODRIGUES MESQUITA,1077724744704787,e452d709-0e4f-46cb-9449-50dd5310ac89
ALINE LIMA DA SILVA,2055575791838513,e452d709-0e4f-46cb-9449-50dd5310ac90
ALISSON DUARTE DA SILVA,8954477186445211,e452d709-0e4f-46cb-9449-50dd5310ac91
ALIZEIBEK SALEIMEN NADER,6680501007713686,e452d709-0e4f-46cb-9449-50dd5310ac92
ANA LIDDY CENNI DE CASTRO MAGALHAES,2106034162135390,e452d709-0e4f-46cb-9449-50dd5310ac93
ANA LYDIA REIS DE CASTRO E SILVA,1672411344994463,e452d709-0e4f-46cb-9449-50dd5310ac94
ANA VALERIA CARNEIRO DIAS,6308958998969674,e452d709-0e4f-46cb-9449-50dd5310ac95
ANDERSON LAECIO GALINDO TRINDADE,8327802117531527,e452d709-0e4f-46cb-9449-50dd5310ac96
ANDRE FERREIRA RODRIGUES,7378792485229225,e452d709-0e4f-46cb-9449-50dd5310ac97
ANDRE PAIM LEMOS,2426104312592166,e452d709-0e4f-46cb-9449-50dd5310ac98
ANDREA CHIUCHIARELLI,7377034213834594,e452d709-0e4f-46cb-9449-50dd5310ac99
ANDREA OLIVEIRA SOUZA DA COSTA,9333155021620480,e452d709-0e4f-46cb-9449-50dd5310ac100
ANDREIA BICALHO HENRIQUES,3082875534964549,e452d709-0e4f-46cb-9449-50dd5310ac101
ANTONELLA LOMBARDI COSTA,0382135664206404,e452d709-0e4f-46cb-9449-50dd5310ac102
ANTONIO ANANIAS DE MENDONCA,5371063903159411,e452d709-0e4f-46cb-9449-50dd5310ac103
ANTONIO AUGUSTO TORRES MAIA,4340315896207802,e452d709-0e4f-46cb-9449-50dd5310ac104
ANTONIO DE PADUA BRAGA,1130012055294645,e452d709-0e4f-46cb-9449-50dd5310ac105
ANTONIO FERREIRA AVILA,5032990765950518,e452d709-0e4f-46cb-9449-50dd5310ac106
ANTONIO NEVES DE CARVALHO JUNIOR,9564632907233968,e452d709-0e4f-46cb-9449-50dd5310ac107
ARIEL RODRIGUEZ ARIAS,9828103629165196,e452d709-0e4f-46cb-9449-50dd5310ac108
ARMANDO ALVES NETO,2353554735671514,e452d709-0e4f-46cb-9449-50dd5310ac109
ARMANDO CESAR CAMPOS LAVALL,1249682517601334,e452d709-0e4f-46cb-9449-50dd5310ac110
AUGUSTA CERCEAU ISAAC NETA,2746383155366023,e452d709-0e4f-46cb-9449-50dd5310ac111
BERENICE MENDONCA GONZALEZ,3613716281037848,e452d709-0e4f-46cb-9449-50dd5310ac112
BRAZ DE JESUS CARDOSO FILHO,8287627098176443,e452d709-0e4f-46cb-9449-50dd5310ac113
BRUNO MELO BRENTAN,6400467285537474,e452d709-0e4f-46cb-9449-50dd5310ac114
BRUNO OTAVIO SOARES TEIXEIRA,3345663851115807,e452d709-0e4f-46cb-9449-50dd5310ac115
